Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
117,L'Amoreaux,43993,6144,6120,5730,17210,5930,8990,0.13,0.64,0.53,0.01,0.04,0.20,0.77,0.22,0.26,0.11,0.11,0.34,43.79,-79.31,54,45,42,37,45,223
118,Tam O'Shanter-Sullivan,27446,5073,3885,3225,10675,3510,6160,0.10,0.59,0.46,0.01,0.04,0.19,0.75,0.19,0.30,0.09,0.13,0.37,43.78,-79.31,26,31,11,26,16,111
119,Wexford/Maryvale,27917,2724,4215,3650,11380,3940,4715,0.03,0.45,0.29,0.01,0.03,0.13,0.56,0.19,0.23,0.09,0.12,0.32,43.76,-79.30,53,40,27,46,35,202
120,Clairlea-Birchmount,26984,3632,4565,3495,11940,3360,3630,0.04,0.45,0.31,0.01,0.04,0.13,0.61,0.19,0.27,0.09,0.11,0.37,43.71,-79.28,46,51,42,49,33,221
121,Oakridge,13845,7444,2865,1680,6050,1595,1655,0.04,0.52,0.40,0.00,0.01,0.19,0.75,0.21,0.27,0.15,0.11,0.42,43.70,-79.28,47,41,31,37,36,192
122,Birchcliffe-Cliffside,22291,3765,3345,2440,9075,3520,3910,0.01,0.20,0.09,0.04,0.10,0.06,0.27,0.16,0.28,0.09,0.10,0.34,43.69,-79.26,16,26,24,12,20,98
123,Cliffcrest,15935,2273,2575,2145,6070,2445,2695,0.02,0.31,0.18,0.03,0.08,0.08,0.42,0.16,0.28,0.10,0.08,0.31,43.71,-79.23,30,20,23,31,15,119
124,Kennedy Park,17123,4770,2775,2175,7120,2510,2550,0.04,0.46,0.33,0.00,0.02,0.13,0.70,0.21,0.21,0.09,0.12,0.35,43.73,-79.26,53,56,25,51,24,209
125,Ionview,13641,7031,2310,1645,6050,1720,1890,0.03,0.46,0.33,0.00,0.01,0.20,0.73,0.21,0.23,0.09,0.12,0.37,43.73,-79.27,27,19,11,13,7,77
126,Dorset Park,25003,4146,4250,3155,10485,3330,3780,0.05,0.54,0.40,0.00,0.02,0.15,0.78,0.20,0.25,0.10,0.11,0.39,43.76,-79.28,30,37,55,35,34,191
127,Bendale,29960,4011,4550,4605,12050,3535,5250,0.05,0.53,0.39,0.01,0.03,0.17,0.72,0.19,0.26,0.09,0.13,0.40,43.76,-79.25,70,78,66,81,51,347
128,Agincourt South-Malvern West,23757,3034,3075,3360,9965,3265,4105,0.14,0.65,0.53,0.01,0.04,0.19,0.86,0.20,0.28,0.10,0.13,0.39,43.79,-79.27,25,27,34,32,29,148
129,Agincourt North,29113,3929,3840,3705,11305,4230,6045,0.20,0.71,0.62,0.01,0.04,0.18,0.92,0.26,0.23,0.10,0.10,0.31,43.81,-79.26,35,38,18,24,47,162
130,Milliken,26572,2830,3675,3195,10565,4030,5115,0.27,0.76,0.68,0.00,0.04,0.20,0.97,0.28,0.21,0.10,0.10,0.32,43.82,-79.28,41,39,37,31,17,165
131,Rouge,46496,1260,7960,6700,18510,6690,6625,0.03,0.42,0.29,0.01,0.08,0.08,0.81,0.17,0.24,0.08,0.09,0.28,43.81,-79.17,31,41,37,51,36,196
132,Malvern,43794,4948,7910,6620,17865,5535,5890,0.05,0.46,0.35,0.00,0.02,0.14,0.90,0.21,0.20,0.11,0.10,0.32,43.80,-79.22,38,45,64,59,43,249
133,Centennial Scarborough,13362,2479,2150,1850,5030,1955,2385,0.01,0.27,0.13,0.04,0.16,0.04,0.44,0.12,0.36,0.08,0.07,0.22,43.78,-79.15,3,3,6,9,4,25
134,Highland Creek,12494,2403,1545,1925,4620,2020,2395,0.02,0.42,0.26,0.02,0.12,0.08,0.75,0.15,0.28,0.09,0.07,0.24,43.79,-79.17,23,34,15,20,6,98
135,Morningside,17455,3041,2880,2690,6840,2355,2695,0.03,0.41,0.27,0.01,0.04,0.13,0.75,0.17,0.23,0.11,0.11,0.34,43.78,-79.21,17,25,9,15,13,79
136,West Hill,27392,2856,4635,3950,10765,3785,4240,0.02,0.33,0.20,0.01,0.03,0.10,0.63,0.22,0.19,0.12,0.11,0.32,43.77,-79.17,64,64,78,65,51,323
137,Woburn,53485,4345,9625,7660,21945,6245,8010,0.05,0.51,0.38,0.01,0.02,0.18,0.76,0.20,0.25,0.11,0.13,0.39,43.76,-79.22,83,81,68,126,71,429
138,Eglinton East,22776,7051,4180,3130,9180,2825,3505,0.03,0.44,0.32,0.00,0.02,0.17,0.78,0.22,0.20,0.11,0.13,0.38,43.74,-79.25,81,53,49,43,41,267
139,Scarborough Village,16724,5395,3365,2360,6685,2095,2225,0.03,0.44,0.31,0.01,0.03,0.16,0.73,0.23,0.22,0.13,0.13,0.40,43.74,-79.22,31,33,24,23,11,122
140,Guildwood,9917,2673,1295,1065,3370,1555,2635,0.01,0.23,0.10,0.04,0.10,0.05,0.30,0.13,0.33,0.08,0.07,0.30,43.75,-79.19,16,6,7,10,5,44
